#{"t_start": 1749460870.6456552, "env_id": "None"}
r,l,t
-66.0,50,1.524029
-74.5,49,1.550162
-68.5,60,1.580865
-79.5,39,1.601995
-75.5,43,1.625246
-91.0,55,1.65394
-64.0,22,1.665534
-82.5,91,1.713907
-81.5,97,1.766324
-58.0,58,1.796945
-52.0,59,1.828307
-80.5,78,1.870172
-63.5,40,1.892099
-70.0,36,1.911227
-92.5,86,1.956508
-102.0,104,2.01108
-84.0,72,2.048337
-82.5,91,2.095787
-73.5,40,2.117914
-65.0,36,2.137024
-86.5,87,2.182388
-63.5,60,2.214114
-93.0,113,2.273612
-52.5,71,2.311312
-86.5,127,2.377399
-85.5,48,2.402507
-107.5,116,2.46294
-108.5,165,2.551624
-101.5,107,3.701831
-86.5,132,3.778457
-30.0,51,3.807001
-79.0,52,3.837543
-79.5,104,3.896123
-76.5,87,3.943846
-61.0,20,3.95445
-67.0,79,4.006544
-26.5,42,4.0287
-85.0,36,4.047826
-77.5,46,4.072878
-66.5,22,4.084984
-89.5,184,4.18354
-63.5,95,4.234362
-142.5,311,4.402679
-57.5,61,4.434405
-92.0,259,4.574628
-74.5,94,4.626291
-33.5,30,4.641813
-60.0,61,4.674404
-64.5,29,4.689927
-48.0,43,4.712966
-65.0,96,4.765598
-86.5,62,4.79916
-58.0,213,6.356977
-80.0,76,6.404086
-73.0,38,6.429139
-44.0,37,6.448179
-61.5,142,6.523324
-74.5,179,6.615019
-65.5,103,6.668129
-75.0,51,6.694681
-42.0,14,6.701689
-67.0,39,6.721725
-58.5,180,6.815428
-49.0,112,6.871539
1.0,127,6.936168
-76.5,117,6.994798
-103.5,180,7.086498
-44.5,24,7.099017
-59.5,114,7.156129
-81.5,142,7.228271
-100.5,183,8.263243
-50.0,66,8.300299
-63.5,135,8.377439
-9.5,54,8.407983
-19.5,64,8.448043
-34.5,89,8.494592
-68.5,35,8.513193
-81.0,120,8.575759
-78.0,118,8.636651
-18.5,10,8.641627
-66.0,55,8.669344
17.0,63,8.702016
28.0,109,8.761277
-72.5,126,8.826154
-87.0,134,8.894128
1.0,122,8.955003
-46.0,50,8.980324
-30.5,93,9.027156
-48.5,55,9.054825
-8.0,48,9.078981
-36.5,27,9.092548
-47.5,106,9.144349
-27.5,106,9.197205
-32.0,34,9.21487
-37.0,29,9.229444
-25.0,6,9.232443
-9.5,34,9.249544
-20.0,36,9.267704
-19.5,79,9.306817
-44.5,99,10.475194
-41.0,120,10.538276
43.0,119,10.627833
6.0,82,10.674555
-47.5,91,10.723608
-1.5,102,10.778039
-62.0,19,10.787616
9.0,45,10.811744
-22.5,76,10.851911
-7.0,59,10.884545
-39.5,49,10.912521
-4.0,47,10.938089
-13.5,45,10.96465
-38.0,78,11.007884
-19.5,79,11.051446
-50.0,51,11.077713
-32.5,51,11.103348
45.0,176,11.196422
-3.5,90,11.242533
-28.0,43,11.26366
-32.5,81,11.304919
-2.5,51,11.330982
-59.0,92,11.378017
48.0,74,11.415234
-35.0,16,11.463214
-3.0,93,11.513316
1.5,55,11.540874
-54.5,59,11.571937
-36.5,32,12.545835
-19.0,42,12.567756
-57.5,76,12.617572
-40.0,31,12.634089
-34.5,104,12.697339
23.5,62,12.740409
-23.0,28,12.755502
-63.0,128,12.826385
-17.5,41,12.847566
-18.5,50,12.874136
-31.5,22,12.886218
6.0,82,12.928454
78.5,107,12.983328
-21.0,10,12.987892
-32.0,39,13.008018
-24.0,7,13.012019
-13.5,45,13.034164
-35.5,33,13.051291
-19.0,42,13.072947
-22.5,31,13.088613
-37.5,81,13.130831
25.5,59,13.160525
